Unnamed: 0,user id,test group,converted,total ads,most ads day,most ads hour
127183,1207161,ad,False,16,Monday,10
310440,1580888,ad,False,19,Sunday,13
260659,1224574,ad,False,19,Tuesday,15
313,1491238,ad,False,68,Sunday,21
135803,1506043,ad,False,2,Thursday,22
496860,1176012,ad,False,3,Saturday,8
399896,1304078,ad,False,1,Monday,14
297570,1325282,ad,False,3,Tuesday,16
97841,1200401,ad,False,15,Tuesday,10
204378,1116536,ad,False,18,Wednesday,11
372400,1577029,ad,False,2,Monday,19
5035,1370427,ad,False,37,Friday,22
402590,1431997,ad,False,6,Tuesday,12
156973,1642866,ad,False,22,Wednesday,10
291594,1622696,ad,False,8,Monday,20
565098,1593491,ad,False,6,Friday,9
406593,1509012,ad,False,5,Wednesday,22
358583,1501762,ad,False,9,Thursday,14
494165,1134537,ad,False,5,Friday,15
451390,1233183,ad,False,1,Monday,16
82082,1565152,ad,False,8,Monday,10
118031,1222957,ad,False,4,Sunday,1
132150,1249086,ad,False,13,Monday,18
33619,914626,psa,False,29,Sunday,13
512290,901826,psa,False,2,Wednesday,12
495546,1146700,ad,False,34,Friday,19
491916,1461590,ad,False,44,Monday,17
213243,1492275,ad,False,3,Wednesday,23
80357,1459966,ad,False,1,Sunday,15
20280,1144876,ad,False,38,Saturday,14
325409,1574679,ad,False,8,Wednesday,17
492129,1370088,ad,False,1,Friday,11
468950,1108913,ad,False,4,Sunday,9
412631,1191784,ad,False,53,Tuesday,22
575459,918287,psa,False,1,Saturday,23
444785,1480958,ad,False,1,Sunday,13
153453,1237883,ad,False,6,Friday,10
326824,1529203,ad,False,2,Wednesday,10
197358,1288081,ad,False,18,Thursday,12
519586,1533901,ad,False,1,Thursday,13
225840,1481456,ad,False,3,Friday,13
284416,1226880,ad,False,3,Monday,20
54220,1581655,ad,False,14,Thursday,12
196122,1148529,ad,False,15,Wednesday,15
378723,1370379,ad,False,27,Wednesday,17
225547,1268259,ad,False,28,Monday,10
322835,1016998,ad,False,2,Tuesday,9
339011,1382255,ad,False,17,Sunday,10
539686,1498323,ad,False,19,Sunday,23
498662,1197130,ad,False,5,Saturday,14
39751,1444515,ad,True,90,Thursday,14
489513,1654276,ad,False,2,Sunday,13
568896,908001,psa,False,1,Friday,14
11003,1648652,ad,False,17,Wednesday,19
579680,1231917,ad,False,1,Monday,9
150167,1184035,ad,False,106,Friday,11
581245,1292517,ad,False,19,Monday,13
350234,1195781,ad,False,7,Tuesday,12
363280,1434726,ad,False,13,Thursday,22
110358,1482763,ad,False,25,Friday,15
270872,1196695,ad,False,22,Sunday,8
367997,1498845,ad,False,2,Sunday,13
312186,1520617,ad,False,1,Sunday,17
31003,1467449,ad,False,29,Saturday,13
149356,1342354,ad,False,115,Friday,11
431330,1507339,ad,False,14,Friday,22
361885,1164221,ad,False,1,Friday,15
118610,1014115,ad,False,14,Sunday,13
40913,922896,psa,False,111,Monday,20
489859,1514818,ad,False,5,Thursday,21
442429,1602726,ad,False,1,Sunday,10
528083,1619250,ad,False,5,Friday,16
509866,1467278,ad,False,8,Tuesday,17
155922,1098318,ad,False,37,Friday,22
494374,1194801,ad,False,1,Friday,15
2145,1427896,ad,False,1135,Monday,13
272406,1535800,ad,False,27,Monday,13
375267,1608397,ad,False,2,Tuesday,13
302199,1553735,ad,False,16,Saturday,8
442827,1185654,ad,False,4,Sunday,11
342934,1039386,ad,False,23,Monday,10
144749,1057212,ad,True,97,Monday,16
372113,1088123,ad,False,24,Monday,18
531040,1445756,ad,False,17,Saturday,2
369805,1258968,ad,False,23,Friday,16
30570,1485658,ad,False,225,Friday,22
411535,1151414,ad,False,5,Wednesday,18
587120,1353121,ad,False,5,Tuesday,16
558312,1538765,ad,False,7,Friday,18
248565,1246850,ad,False,23,Sunday,18
562893,1028393,ad,False,4,Thursday,11
49482,1257475,ad,False,22,Friday,15
60912,1367156,ad,False,36,Friday,16
559113,1567053,ad,False,15,Thursday,12
463727,1038390,ad,False,1,Thursday,9
361453,1500106,ad,False,10,Saturday,7
471513,1300002,ad,False,5,Friday,20
234250,1236375,ad,False,17,Monday,13
312581,1571098,ad,False,25,Sunday,18
409359,1271419,ad,False,1,Wednesday,15
155992,1382509,ad,False,1,Thursday,0
240486,1260589,ad,False,6,Sunday,19
578746,1328453,ad,False,1,Sunday,21
490410,1458258,ad,False,5,Sunday,22
9329,1449283,ad,False,9,Wednesday,23
480422,1218401,ad,False,19,Tuesday,17
94948,1557182,ad,False,24,Sunday,22
57682,1266802,ad,True,151,Friday,12
98265,1624799,ad,False,6,Tuesday,18
290943,1446126,ad,False,5,Friday,1
457273,1110038,ad,False,5,Wednesday,7
69950,1086989,ad,True,57,Monday,6
142105,1613231,ad,False,1,Tuesday,12
482372,1145002,ad,False,3,Wednesday,14
428945,1041389,ad,False,13,Saturday,21
401218,1438987,ad,False,14,Monday,20
39100,1390237,ad,False,78,Thursday,12
389436,1141552,ad,False,13,Tuesday,20
579923,1363261,ad,False,1,Monday,10
241450,1019753,ad,False,7,Friday,14
81941,1437676,ad,False,1,Sunday,18
345977,1601390,ad,False,17,Monday,10
540330,1502627,ad,False,1,Monday,8
351645,1630180,ad,True,98,Sunday,9
63392,1288446,ad,False,84,Monday,18
107565,1396633,ad,False,67,Friday,11
209629,1373266,ad,False,26,Sunday,0
94443,1248866,ad,True,391,Monday,17
53025,1048016,ad,False,33,Thursday,19
140154,1591400,ad,False,1,Tuesday,10
577651,1390051,ad,False,1,Sunday,15
212006,1032930,ad,False,45,Wednesday,18
338407,1486604,ad,False,21,Saturday,14
540269,1011564,ad,False,6,Monday,8
202879,1190957,ad,False,20,Tuesday,6
195812,1033699,ad,False,4,Tuesday,11
354426,1078241,ad,False,19,Wednesday,13
515632,1382235,ad,False,17,Monday,17
43811,1056767,ad,False,45,Saturday,20
190406,1072354,ad,False,5,Monday,15
363818,1092909,ad,False,6,Saturday,8
519710,1481240,ad,False,25,Sunday,9
124699,1028615,ad,False,31,Saturday,12
128285,1570421,ad,False,17,Saturday,18
477646,1107167,ad,False,3,Monday,14
206993,1512561,ad,False,17,Wednesday,13
86685,1162076,ad,False,34,Sunday,12
20646,1165704,ad,False,45,Monday,16
10576,1196636,ad,False,49,Tuesday,22
262453,1352086,ad,False,11,Tuesday,11
550251,1333963,ad,False,7,Tuesday,10
383657,1605736,ad,False,6,Friday,11
301651,1411756,ad,False,17,Friday,23
64675,1491605,ad,False,4,Friday,11
41067,1242520,ad,False,25,Thursday,21
